Entiteit/Attribuut,Entiteitcode,Attribuutcode,Formaat,Datatype,Codelijst,Naam,Omschrijving;
"A,BY,1,RELVRH,AN..2,,ADNENT,""Relatie verhouding tot, code"",Code om expliciet te verwijzen naar een entiteit op hetzelfde niveau. Bij herhalende entiteiten ook het volgnummer (RELVVNR) opnemen. Alleen gebruikt binnen specifieke werkgebieden.";
"A,BY,1,RELVVN,RN..3,,,""Relatie verhouding tot, volgnummer"",Volgnummer van een herhalende entiteit waar een andere entiteit op hetzelfde niveau expliciet (via RELVRH) naar verwijst. Alleen gebruikt binnen specifieke werkgebieden.";
"A,BY,1,BYLSRT,AN..2,,ADNBYL,""Soort attachment, code"",";
"A,BY,1,OUTPUT,CAN..5,,ADNOUS,""Soort output, code"",Gecodeerde aanduiding van het soort output.";
"A,BY,1,BYLSPC,CAN..5,,ADNBYC,""Bijlage specificatie, code"",Bijlage specificatie code.";
A,BY,1,BYLID,AN..70,,,Bijlage identificatie,;
"A,BY,1,BYLOMS,AN..70,,,""Bijlage, omschrijving"",";
A,BY,1,FILNM,AN..200,,,Bestandsnaam,Naam van het bestand waaronder de bijlage kan worden opgeslagen.;
"A,BY,1,EXT,AN..70,,,Bestandsextensie,""Extensienaam van het bestand waaronder de bijlage kan worden opgeslagen. Bijvoorbeeld """"PDF"""", """"DOC"""", etc.""";
A,BY,1,BYLTOE,LAN..999,ME,,Bijlage toelichting,Toelichting op de bijlage.;
A,BY,1,CNTTYP,EAN..20,,,Internetmediatype originele bestand,Internetmediatype (MIME) van het originele bestand. Voor gecodeerde inhoud met een tekst-mimetype moet een tekenset worden opgenomen.;
A,BY,1,UPLBRO,NAN..200,,,Bron document upload,Bron waar vanuit het document is geüpload.;
A,BY,1,UPLNAA,MAN..70,,,Naam document uploader,Naam van degene die het document heeft geüpload.;
"A,BY,1,GAKBC,AN..10,,,""Kantoorcode, bedrijfsnummer portef."",Code waarmee verschillende portefeuilles/administraties binnen een administratiepakket kunnen worden onderscheiden. De code zelf is niet gestandaardiseerd.";
A,BY,1,XPATH,AN..200,,,Gegevenselement locatie,De hierarchische locatie van het element waar deze gegevens betrekking op hebben. Dit vindt plaats door een zogenaamde XML XPATH expressie.;
A,BY,1,DATA,AN..999,BY,,Datastring,;
A,BY,1,URLBY,AN..200,,,URL naar bijlage,;
"A,BY,1,PROCES,CAN..5,,ADNPRO,""Proces, code"",Code om aan te geven uit welk proces de bijlage voortkomt.";
"A,BY,1,ENDBST,MAN..2,,ADNAAG,""Eindbestemming, code"",Code waarmee de eindbestemming van de bijlage wordt aangegeven.";
"A,BY,1,REACTI,EAN1,JN,ADNLOG,Reactie J/N,""Indicatie waarmee wordt aangegeven dat er een reactie op de bijlage van toepassing is door de ontvanger ervan, richting de verzender.""";
"A,BY,1,BHNDLN,GAN..5,,ADNSOD,""Behandeling, code"",Code waarmee wordt aangegeven hoe de bijlage behandeld moet worden.";
"A,BY,1,PRIO,AN5,,ADNPRI,""Prioriteit, code"",Code waarmee wordt aangegeven welke prioriteit moet worden gegeven aan de behandeling en of verzending. (1 = hoogste prioriteit).";
A,BY,1,INGDAT,N8,D1,,Ingangsdatum,Datum waarop de gegevens van deze entiteit van kracht worden/zijn geworden.;
A,BY,1,INGTYD,N4,T1,,Ingangstijd,Ingangstijd op ingangsdatum.;
"E,BO,1,,,,,BOEKING ONDERDEEL,""Gegevens over een te incasseren premie of correctie daarop, als gevolg van een vervallen betaaltermijn, prolongatie, nieuw contract of mutatie.""";
A,BO,1,ENTITE,IAN..2,,ADNENT,Entiteitscode,De unieke identificatie van een entiteit.;
A,BO,1,VRWRKC,DAN1,,ADNVRC,Verwerkingscode entiteit,Geeft aan hoe de entiteit te verwerken.;
"A,BO,1,VOLGNU,MN..3,,,Volgnummer,""Indien de entiteit herhalend voorkomt, dan maakt de combinatie entiteitscode + volgnummer de entiteit uniek. Verplicht vullen met '1' indien niet meer dan éénmaal dezelfde entiteit voorkomt.""";
"A,BO,1,RELVRH,AN..2,,ADNENT,""Relatie verhouding tot, code"",Code om expliciet te verwijzen naar een entiteit op hetzelfde niveau. Bij herhalende entiteiten ook het volgnummer (RELVVNR) opnemen. Alleen gebruikt binnen specifieke werkgebieden.";
"A,BO,1,RELVVN,RN..3,,,""Relatie verhouding tot, volgnummer"",Volgnummer van een herhalende entiteit waar een andere entiteit op hetzelfde niveau expliciet (via RELVRH) naar verwijst. Alleen gebruikt binnen specifieke werkgebieden.";
"A,BO,1,BKS,AN..2,,ADNBKS,""Soort boeking, code"",";
A,BO,1,BKN,AN..17,,,Boekingsnummer,In combinatie met het contractnummer unieke identificatie van de boeking bij de maatschappij of gevolmachtigde.;
A,BO,1,BKNO,AN..17,,,Boekingsnummer oorspronkelijk,Indien het een correctieboeking betreft dan kan hier het oorspronkelijke boekingsnummer worden opgegeven.;
"A,BO,1,BETWIJ,ZAN1,,ADNBET,""Wie incasseert, code"",Geeft aan wie de premiebetalingen incasseert.";
A,BO,1,BOEKDA,TN8,D1,,Boekingsdatum,De datum waarop de boeking heeft plaats gevonden bij de maatschappij of gevolmachtigde.;
"A,BO,1,BVVDAT,N8,D1,,Vervaldatum boeking,""Datum waarop de vordering/verplichting invorderbaar wordt of in geval van restitutie, de datum vanaf wanneer het recht ontstaat (cq. ontstaan is) op restitutie.""";
"A,BO,1,PRTDAT,N8,D1,,""Premieberekening tot, datum"",Datum tot wanneer de premieberekening cq verrekening heeft plaatsgevonden.";
A,BO,1,RCMND,N6,D6,,Rekening-Courant maand,Rekening-Courant maand voor de boeking bij de maatschappij of gevolmachtigde.;
A,BO,1,BRPRM,N..15,B2,,Bedrag bruto premie,Totaal bedrag bruto premie. Kortingen en toeslagen zijn hierin niet opgenomen.;
A,BO,1,KRT,N..15,B2,,Bedrag korting,Total bedrag aan kortingen die in rekening zijn gebracht. Alle soorten kortingen worden opgeteld in dit bedrag weergegeven.;
A,BO,1,KST,N..15,B2,,Bedrag kosten,Extra kosten die in rekening zijn gebracht. Alle soorten kosten worden opgeteld in dit bedrag weergegeven. Hier worden geen kosten opgenomen die de tussenpersoon in rekening worden gebracht.;
A,BO,1,TSL,N..15,B2,,Bedrag toeslag,Toeslagen die in rekening zijn gebracht. Alle soorten toeslagen worden opgeteld in dit bedrag weergegeven.;
A,BO,1,ASSBEL,N..15,B2,,Bedrag assurantiebelasting,Bedrag assurantiebelasting.;
A,BO,1,INCASS,ON..15,B2,,Bedrag incasso of restitutie,Bedrag bij cliënt te incasseren/restitueren. In dit bedrag zijn alle kortingen en toeslagen verwerkt. Negatief wil zeggen dat het de cliënt toekomt.;
A,BO,1,PAKKRT,N..15,B2,,Bedrag pakketkorting,Pakketkorting die door de verzekeringsmaatschappij of gevolmachtigde in rekening is gebracht voor dit contract.;
A,BO,1,KRTBM,N..15,B2,,Bedrag korting B/M Noclaim,;
A,BO,1,TSLBM,N..15,B2,,Bedrag toeslag B/M,;
A,BO,1,TSLWTZ,N..15,B2,,Bedrag toeslag WTZ,;
A,BO,1,TSLMOO,ZN..15,B2,,Bedrag toeslag MOOZ,Wettelijke toeslag als gevolg van de wet Medefinanciering Oververtegenwoordiging Oudere Ziekenfondsverzekerden.;
A,BO,1,PROLPR,VN..15,B2,,Bedrag prolongatieprovisie,;
A,BO,1,AFSLPR,VN..15,B2,,Bedrag afsluitprovisie,;
A,BO,1,INCVER,GN..15,B2,,Bedrag incassovergoeding,Kosten die bij de tussenpersoon in rekening worden gebracht indien de maatschappij of gevolmachtigde incasseert.;
A,BO,1,RETOUR,PN..15,B2,,Bedrag retourprovisie,Bedrag aan provisie dat niet aan het intermediair toekomt maar als korting aan de eindconsument gegeven wordt.;
A,BO,1,OVRPRV,N..15,B2,,Bedrag overige provisie,Bedoeld voor éénmalige provisie niet zijnde afsluitprovisie.;
"A,BO,1,RCBEDR,N..15,B2,,Bedrag geboekt in Rekening-Courant,""Het bedrag dat voor de """"Rekening-Courant maand"""" wordt geboekt in de Rekening-Courant.""";
A,BO,1,MYKSTN,N..15,B2,,Bedrag maatschappijkosten,;
A,BO,1,NETPRM,N..15,B2,,Bedrag nota-premie incl BM-korting,;
A,BO,1,KRTSV,N..15,B2,,Bedrag schadeverloop korting,Het kortingsbedrag dat op basis van het schadeverloop wordt verleent.;
A,BO,1,PROVTO,TN..15,B2,,Totaalbedrag provisie,;
A,BO,1,BEDRAR,BN..15,B2,,Bedrag ARBO dienstverlening,Bedrag voor ARBO dienstverlening.;
A,BO,1,BTWARB,ON..15,B2,,Bedrag BTW ARBO dienstverlening,BTW bedrag over de kosten voor de ARBO dienstverlening.;
A,BO,1,BEAFPR,VN..15,B2,,Bedrag eenmalige afsluitprovisie,Dit bedrag is inbegrepen bij bedrag afsluitprovisie.;
A,BO,1,DAP,N..15,B2,,Bedrag doorlopende afsluitprovisie,Dit bedrag is inbegrepen bij bedrag afsluitprovisie.;
A,BO,1,BETJN,AN1,JN,ADNLOG,Nota betaald J/N,;
A,BO,1,STORNJ,NAN1,JN,ADNLOG,Automatische incasso gestorneerd J/N,Indicatie of de automatische incasso gestorneerd is.;
A,BO,1,TOBPRC,N..8,P3,,Percentage objectkorting,Percentage objectkorting.;
A,BO,1,OBKRT,N..15,B2,,Bedrag objectkorting,Bedrag objectkorting.;
A,BO,1,TDATVA,NN8,D1,,Datum vanaf,;
A,BO,1,TDATTM,N8,D1,,Datum tot en met,;
A,BO,1,TSCHBD,RN..15,B2,,Schade bedrag,Schade bedrag.;
A,BO,1,INTKEY,AN..35,,,Interne sleutel,Interne sleutel.;
"E,BC,1,,,,,BOEKING PAKKET,""Gegevens over een te incasseren premie of correctie daarop, als gevolg van een vervallen betaaltermijn, prolongatie, nieuw contract of mutatie.""";
A,BC,1,ENTITE,IAN..2,,ADNENT,Entiteitscode,De unieke identificatie van een entiteit.;
A,BC,1,VRWRKC,DAN1,,ADNVRC,Verwerkingscode entiteit,Geeft aan hoe de entiteit te verwerken.;
"A,BC,1,VOLGNU,MN..3,,,Volgnummer,""Indien de entiteit herhalend voorkomt, dan maakt de combinatie entiteitscode + volgnummer de entiteit uniek. Verplicht vullen met '1' indien niet meer dan éénmaal dezelfde entiteit voorkomt.""";
"A,BC,1,RELVRH,AN..2,,ADNENT,""Relatie verhouding tot, code"",Code om expliciet te verwijzen naar een entiteit op hetzelfde niveau. Bij herhalende entiteiten ook het volgnummer (RELVVNR) opnemen. Alleen gebruikt binnen specifieke werkgebieden.";
"A,BC,1,RELVVN,RN..3,,,""Relatie verhouding tot, volgnummer"",Volgnummer van een herhalende entiteit waar een andere entiteit op hetzelfde niveau expliciet (via RELVRH) naar verwijst. Alleen gebruikt binnen specifieke werkgebieden.";
"A,BC,1,BKS,AN..2,,ADNBKS,""Soort boeking, code"",";
A,BC,1,BKN,AN..17,,,Boekingsnummer,In combinatie met het contractnummer unieke identificatie van de boeking bij de maatschappij of gevolmachtigde.;
A,BC,1,BKNO,AN..17,,,Boekingsnummer oorspronkelijk,Indien het een correctieboeking betreft dan kan hier het oorspronkelijke boekingsnummer worden opgegeven.;
"A,BC,1,BETWIJ,ZAN1,,ADNBET,""Wie incasseert, code"",Geeft aan wie de premiebetalingen incasseert.";
A,BC,1,BOEKDA,TN8,D1,,Boekingsdatum,De datum waarop de boeking heeft plaats gevonden bij de maatschappij of gevolmachtigde.;
"A,BC,1,BVVDAT,N8,D1,,Vervaldatum boeking,""Datum waarop de vordering/verplichting invorderbaar wordt of in geval van restitutie, de datum vanaf wanneer het recht ontstaat (cq. ontstaan is) op restitutie.""";
"A,BC,1,PRTDAT,N8,D1,,""Premieberekening tot, datum"",Datum tot wanneer de premieberekening cq verrekening heeft plaatsgevonden.";
A,BC,1,RCMND,N6,D6,,Rekening-Courant maand,Rekening-Courant maand voor de boeking bij de maatschappij of gevolmachtigde.;
A,BC,1,BRPRM,N..15,B2,,Bedrag bruto premie,Totaal bedrag bruto premie. Kortingen en toeslagen zijn hierin niet opgenomen.;
A,BC,1,KRT,N..15,B2,,Bedrag korting,Total bedrag aan kortingen die in rekening zijn gebracht. Alle soorten kortingen worden opgeteld in dit bedrag weergegeven.;
A,BC,1,KST,N..15,B2,,Bedrag kosten,Extra kosten die in rekening zijn gebracht. Alle soorten kosten worden opgeteld in dit bedrag weergegeven. Hier worden geen kosten opgenomen die de tussenpersoon in rekening worden gebracht.;
A,BC,1,TSL,N..15,B2,,Bedrag toeslag,Toeslagen die in rekening zijn gebracht. Alle soorten toeslagen worden opgeteld in dit bedrag weergegeven.;
A,BC,1,ASSBEL,N..15,B2,,Bedrag assurantiebelasting,Bedrag assurantiebelasting.;
A,BC,1,INCASS,ON..15,B2,,Bedrag incasso of restitutie,Bedrag bij cliënt te incasseren/restitueren. In dit bedrag zijn alle kortingen en toeslagen verwerkt. Negatief wil zeggen dat het de cliënt toekomt.;
A,BC,1,PAKKRT,N..15,B2,,Bedrag pakketkorting,Pakketkorting die door de verzekeringsmaatschappij of gevolmachtigde in rekening is gebracht voor dit contract.;
A,BC,1,KRTBM,N..15,B2,,Bedrag korting B/M Noclaim,;
A,BC,1,TSLBM,N..15,B2,,Bedrag toeslag B/M,;
A,BC,1,TSLWTZ,N..15,B2,,Bedrag toeslag WTZ,;
A,BC,1,TSLMOO,ZN..15,B2,,Bedrag toeslag MOOZ,Wettelijke toeslag als gevolg van de wet Medefinanciering Oververtegenwoordiging Oudere Ziekenfondsverzekerden.;
A,BC,1,PROLPR,VN..15,B2,,Bedrag prolongatieprovisie,;
A,BC,1,AFSLPR,VN..15,B2,,Bedrag afsluitprovisie,;
A,BC,1,INCVER,GN..15,B2,,Bedrag incassovergoeding,Kosten die bij de tussenpersoon in rekening worden gebracht indien de maatschappij of gevolmachtigde incasseert.;
A,BC,1,RETOUR,PN..15,B2,,Bedrag retourprovisie,Bedrag aan provisie dat niet aan het intermediair toekomt maar als korting aan de eindconsument gegeven wordt.;
A,BC,1,OVRPRV,N..15,B2,,Bedrag overige provisie,Bedoeld voor éénmalige provisie niet zijnde afsluitprovisie.;
"A,BC,1,RCBEDR,N..15,B2,,Bedrag geboekt in Rekening-Courant,""Het bedrag dat voor de """"Rekening-Courant maand"""" wordt geboekt in de Rekening-Courant.""";
A,BC,1,MYKSTN,N..15,B2,,Bedrag maatschappijkosten,;
A,BC,1,NETPRM,N..15,B2,,Bedrag nota-premie incl BM-korting,;
A,BC,1,KRTSV,N..15,B2,,Bedrag schadeverloop korting,Het kortingsbedrag dat op basis van het schadeverloop wordt verleent.;
A,BC,1,PROVTO,TN..15,B2,,Totaalbedrag provisie,;
A,BC,1,BTWARB,ON..15,B2,,Bedrag BTW ARBO dienstverlening,BTW bedrag over de kosten voor de ARBO dienstverlening.;
A,BC,1,BEAFPR,VN..15,B2,,Bedrag eenmalige afsluitprovisie,Dit bedrag is inbegrepen bij bedrag afsluitprovisie.;
A,BC,1,DAP,N..15,B2,,Bedrag doorlopende afsluitprovisie,Dit bedrag is inbegrepen bij bedrag afsluitprovisie.;
A,BC,1,TKLKRT,N..15,B2,,Termijnbedrag klantkorting,;
A,BC,1,TKLPRC,N..8,P3,,Percentage klantkorting,Percentage klantkorting.;
A,BC,1,KLKRT,N..15,B2,,Bedrag klantkorting,Bedrag klantkorting.;
A,BC,1,TOBKRT,N..15,B2,,Termijnbedrag objectkorting,;
A,BC,1,TOBPRC,N..8,P3,,Percentage objectkorting,Percentage objectkorting.;
A,BC,1,OBKRT,N..15,B2,,Bedrag objectkorting,Bedrag objectkorting.;
A,BC,1,INTKEY,AN..35,,,Interne sleutel,Interne sleutel.;
E,BD,1,,,,,BTW GEGEVENS FACTUUR,Btw gegevens met betrekking tot een factuur.;
A,BD,1,ENTITE,IAN..2,,ADNENT,Entiteitscode,De unieke identificatie van een entiteit.;
A,BD,1,VRWRKC,DAN1,,ADNVRC,Verwerkingscode entiteit,Geeft aan hoe de entiteit te verwerken.;
"A,BD,1,VOLGNU,MN..3,,,Volgnummer,""Indien de entiteit herhalend voorkomt, dan maakt de combinatie entiteitscode + volgnummer de entiteit uniek. Verplicht vullen met '1' indien niet meer dan éénmaal dezelfde entiteit voorkomt.""";
"A,BD,1,RELTOT,AN..2,,ADNENT,""Relatie tot, code"",Code van bovenliggende entiteit waar onderliggende entiteit naar verwijst. Bij herhaling ook het volgnummer (RELVNR) van de entiteit opnemen. Bij EDIFACT deze relaties verplicht definiëren.";
"A,BD,1,RELVNR,N..3,,,""Relatie tot, volgnummer"",Volgnummer van de bovenliggende herhalende entiteit waar de onderliggende entiteit (via RELTOT) naar verwijst. Bij EDIFACT deze relaties verplicht definiëren.";
"A,BD,1,BTWAAN,DAN1,,ADNBTW,""BTW code, code"",BTW-code.";
A,BD,1,BTWPRC,N..8,P3,,BTW Percentage,BTW-percentage.;
A,BD,1,BTWBED,RN..15,B2,,Bedrag BTW,BTW-bedrag.;
E,BJ,1,,,,,BTW GEGEVENS FACTUURREGEL,Btw gegevens per factuurregel.;
A,BJ,1,ENTITE,IAN..2,,ADNENT,Entiteitscode,De unieke identificatie van een entiteit.;
A,BJ,1,VRWRKC,DAN1,,ADNVRC,Verwerkingscode entiteit,Geeft aan hoe de entiteit te verwerken.;
"A,BJ,1,VOLGNU,MN..3,,,Volgnummer,""Indien de entiteit herhalend voorkomt, dan maakt de combinatie entiteitscode + volgnummer de entiteit uniek. Verplicht vullen met '1' indien niet meer dan éénmaal dezelfde entiteit voorkomt.""";
"A,BJ,1,RELTOT,AN..2,,ADNENT,""Relatie tot, code"",Code van bovenliggende entiteit waar onderliggende entiteit naar verwijst. Bij herhaling ook het volgnummer (RELVNR) van de entiteit opnemen. Bij EDIFACT deze relaties verplicht definiëren.";
"A,BJ,1,RELVNR,N..3,,,""Relatie tot, volgnummer"",Volgnummer van de bovenliggende herhalende entiteit waar de onderliggende entiteit (via RELTOT) naar verwijst. Bij EDIFACT deze relaties verplicht definiëren.";
"A,BJ,1,BTWAAN,DAN1,,ADNBTW,""BTW code, code"",BTW-code.";
A,BJ,1,BTWPRC,N..8,P3,,BTW Percentage,BTW-percentage.;
A,BJ,1,BTWBED,RN..15,B2,,Bedrag BTW,BTW-bedrag.;
E,XS,1,,,,,CLAIM TOEGEPASTE DEKKING,Identificatie van de dekking waarop wordt geclaimd.;
A,XS,1,ENTITE,IAN..2,,ADNENT,Entiteitscode,De unieke identificatie van een entiteit.;
A,XS,1,VRWRKC,DAN1,,ADNVRC,Verwerkingscode entiteit,Geeft aan hoe de entiteit te verwerken.;
"A,XS,1,VOLGNU,MN..3,,,Volgnummer,""Indien de entiteit herhalend voorkomt, dan maakt de combinatie entiteitscode + volgnummer de entiteit uniek. Verplicht vullen met '1' indien niet meer dan éénmaal dezelfde entiteit voorkomt.""";
A,XS,1,CLCODE,AN..5,,ADNDEK,Claim toegepaste dekkingscode,Claim toegepaste dekkingscode.;
"A,XS,1,MYCODE,AN..5,,ADNMCD,""Dekkingscode maatschappij, code"",";
A,XS,1,MYREFC,DAN..5,,,Maatschappij eigen referentiecode,Maatschappij eigen referentiecode.;
A,XS,1,DEKOMS,AN..70,,,Dekkingsomschrijving,Dekkingsomschrijving.;
E,CL,1,,,,,CLAUSULE,Gegevens over een clausule die opgenomen wordt bij een contract zoals bijvoorbeeld een polis.;
A,CL,1,ENTITE,IAN..2,,ADNENT,Entiteitscode,De unieke identificatie van een entiteit.;
A,CL,1,VRWRKC,DAN1,,ADNVRC,Verwerkingscode entiteit,Geeft aan hoe de entiteit te verwerken.;
"A,CL,1,VOLGNU,MN..3,,,Volgnummer,""Indien de entiteit herhalend voorkomt, dan maakt de combinatie entiteitscode + volgnummer de entiteit uniek. Verplicht vullen met '1' indien niet meer dan éénmaal dezelfde entiteit voorkomt.""";
"A,CL,1,RELTOT,AN..2,,ADNENT,""Relatie tot, code"",Code van bovenliggende entiteit waar onderliggende entiteit naar verwijst. Bij herhaling ook het volgnummer (RELVNR) van de entiteit opnemen. Bij EDIFACT deze relaties verplicht definiëren.";
"A,CL,1,RELVNR,N..3,,,""Relatie tot, volgnummer"",Volgnummer van de bovenliggende herhalende entiteit waar de onderliggende entiteit (via RELTOT) naar verwijst. Bij EDIFACT deze relaties verplicht definiëren.";
"A,CL,1,RELVRH,AN..2,,ADNENT,""Relatie verhouding tot, code"",Code om expliciet te verwijzen naar een entiteit op hetzelfde niveau. Bij herhalende entiteiten ook het volgnummer (RELVVNR) opnemen. Alleen gebruikt binnen specifieke werkgebieden.";
"A,CL,1,RELVVN,RN..3,,,""Relatie verhouding tot, volgnummer"",Volgnummer van een herhalende entiteit waar een andere entiteit op hetzelfde niveau expliciet (via RELVRH) naar verwijst. Alleen gebruikt binnen specifieke werkgebieden.";
A,CL,1,CLAUBE,WAN1,JN,ADNLOG,Clausule bewerkbaar J/N,Indicatie of de clausule bewerkbaar is.;
A,CL,1,CLAUGO,MAN..70,,,Clausulegroep omschrijving,De omschrijving van de clausulegroep.;
"A,CL,1,CLAUVR,WAN..2,,AFDFVR,""Clausuleverwerking, code"",Code om aan te geven hoe de clausule wordt verwerkt.";
A,CL,1,CLAUSN,RAN..20,,,Clausule nummers,Clausule nummers.;
A,CL,1,CLAUSN,MAN..70,,,Clausulenaam,Clausulenaam.;
"A,CL,1,CLAUCA,TAN..2,,ADNCLC,""Clausule categorie, code"",""Geeft de aard van de clausule, zoals medisch of technisch.""";
A,CL,1,VERSIE,CAN..70,,,Clausule versienummer,Clausule versienummer.;
A,CL,1,CLAUSO,MAN..70,,,Clausule omschrijving kort,Korte clausule omschrijving.;
A,CL,1,CLSOMS,AN..999,ME,,Clausule omschrijving uitgebreid,Uitgebreide clausule omschrijving. Memoveld van maximaal 99999 posities.;
A,CL,1,CLAUTX,TAN..999,ME,,Clausule tekst,Uitgebreide clausule tekst. Memoveld van maximaal 99999 posities.;
A,CL,1,CLT001,AN..70,,,Clausuletekst-001,Clausuletekst-001.;
A,CL,1,CLT002,AN..70,,,Clausuletekst-002,Clausuletekst-002.;
A,CL,1,CLT003,AN..70,,,Clausuletekst-003,Clausuletekst-003.;
A,CL,1,CLT004,AN..70,,,Clausuletekst-004,Clausuletekst-004.;
A,CL,1,CLT005,AN..70,,,Clausuletekst-005,Clausuletekst-005.;
A,CL,1,CLT006,AN..70,,,Clausuletekst-006,Clausuletekst-006.;
A,CL,1,CLT007,AN..70,,,Clausuletekst-007,Clausuletekst-007.;
A,CL,1,CLT008,AN..70,,,Clausuletekst-008,Clausuletekst-008.;
A,CL,1,CLT009,AN..70,,,Clausuletekst-009,Clausuletekst-009.;
A,CL,1,CLT010,AN..70,,,Clausuletekst-010,Clausuletekst-010.;
A,CL,1,CLT011,AN..70,,,Clausuletekst-011,Clausuletekst-011.;
A,CL,1,CLT012,AN..70,,,Clausuletekst-012,Clausuletekst-012.;
A,CL,1,CLT013,AN..70,,,Clausuletekst-013,Clausuletekst-013.;
A,CL,1,CLT014,AN..70,,,Clausuletekst-014,Clausuletekst-014.;
A,CL,1,CLT015,AN..70,,,Clausuletekst-015,Clausuletekst-015.;
A,CL,1,CLT016,AN..70,,,Clausuletekst-016,Clausuletekst-016.;
A,CL,1,CLT017,AN..70,,,Clausuletekst-017,Clausuletekst-017.;
A,CL,1,CLT018,AN..70,,,Clausuletekst-018,Clausuletekst-018.;
A,CL,1,CLT019,AN..70,,,Clausuletekst-019,Clausuletekst-019.;
A,CL,1,CLT020,AN..70,,,Clausuletekst-020,Clausuletekst-020.;
A,CL,1,CLT021,AN..70,,,Clausuletekst-021,Clausuletekst-021.;
A,CL,1,CLT022,AN..70,,,Clausuletekst-022,Clausuletekst-022.;
A,CL,1,CLT023,AN..70,,,Clausuletekst-023,Clausuletekst-023.;
A,CL,1,CLT024,AN..70,,,Clausuletekst-024,Clausuletekst-024.;
A,CL,1,CLT025,AN..70,,,Clausuletekst-025,Clausuletekst-025.;
A,CL,1,CLT026,AN..70,,,Clausuletekst-026,Clausuletekst-026.;
A,CL,1,CLT027,AN..70,,,Clausuletekst-027,Clausuletekst-027.;
A,CL,1,CLT028,AN..70,,,Clausuletekst-028,Clausuletekst-028.;
A,CL,1,CLT029,AN..70,,,Clausuletekst-029,Clausuletekst-029.;
A,CL,1,CLT030,AN..70,,,Clausuletekst-030,Clausuletekst-030.;
A,CL,1,CLT031,AN..70,,,Clausuletekst-031,Clausuletekst-031.;
A,CL,1,CLT032,AN..70,,,Clausuletekst-032,Clausuletekst-032.;
A,CL,1,CLT033,AN..70,,,Clausuletekst-033,Clausuletekst-033.;
A,CL,1,CLT034,AN..70,,,Clausuletekst-034,Clausuletekst-034.;
A,CL,1,CLT035,AN..70,,,Clausuletekst-035,Clausuletekst-035.;
A,CL,1,CLT036,AN..70,,,Clausuletekst-036,Clausuletekst-036.;
A,CL,1,CLT037,AN..70,,,Clausuletekst-037,Clausuletekst-037.;
A,CL,1,CLT038,AN..70,,,Clausuletekst-038,Clausuletekst-038.;
A,CL,1,CLT039,AN..70,,,Clausuletekst-039,Clausuletekst-039.;
A,CL,1,CLT040,AN..70,,,Clausuletekst-040,Clausuletekst-040.;
A,CL,1,CLT041,AN..70,,,Clausuletekst-041,Clausuletekst-041.;
A,CL,1,CLT042,AN..70,,,Clausuletekst-042,Clausuletekst-042.;
A,CL,1,CLT043,AN..70,,,Clausuletekst-043,Clausuletekst-043.;
A,CL,1,CLT044,AN..70,,,Clausuletekst-044,Clausuletekst-044.;
A,CL,1,CLT045,AN..70,,,Clausuletekst-045,Clausuletekst-045.;
A,CL,1,CLT046,AN..70,,,Clausuletekst-046,Clausuletekst-046.;
A,CL,1,CLT047,AN..70,,,Clausuletekst-047,Clausuletekst-047.;
A,CL,1,CLT048,AN..70,,,Clausuletekst-048,Clausuletekst-048.;
A,CL,1,CLT049,AN..70,,,Clausuletekst-049,Clausuletekst-049.;
A,CL,1,CLT050,AN..70,,,Clausuletekst-050,Clausuletekst-050.;
A,CL,1,CLT051,AN..70,,,Clausuletekst-051,Clausuletekst-051.;
A,CL,1,CLT052,AN..70,,,Clausuletekst-052,Clausuletekst-052.;
A,CL,1,CLT053,AN..70,,,Clausuletekst-053,Clausuletekst-053.;
A,CL,1,CLT054,AN..70,,,Clausuletekst-054,Clausuletekst-054.;
A,CL,1,CLT055,AN..70,,,Clausuletekst-055,Clausuletekst-055.;
A,CL,1,CLT056,AN..70,,,Clausuletekst-056,Clausuletekst-056.;
A,CL,1,CLT057,AN..70,,,Clausuletekst-057,Clausuletekst-057.;
A,CL,1,CLT058,AN..70,,,Clausuletekst-058,Clausuletekst-058.;
A,CL,1,CLT059,AN..70,,,Clausuletekst-059,Clausuletekst-059.;
A,CL,1,CLT060,AN..70,,,Clausuletekst-060,Clausuletekst-060.;
A,CL,1,CLT061,AN..70,,,Clausuletekst-061,Clausuletekst-061.;
A,CL,1,CLT062,AN..70,,,Clausuletekst-062,Clausuletekst-062.;
A,CL,1,CLT063,AN..70,,,Clausuletekst-063,Clausuletekst-063.;
A,CL,1,CLT064,AN..70,,,Clausuletekst-064,Clausuletekst-064.;
A,CL,1,CLT065,AN..70,,,Clausuletekst-065,Clausuletekst-065.;
A,CL,1,CLT066,AN..70,,,Clausuletekst-066,Clausuletekst-066.;
A,CL,1,CLT067,AN..70,,,Clausuletekst-067,Clausuletekst-067.;
A,CL,1,CLT068,AN..70,,,Clausuletekst-068,Clausuletekst-068.;
A,CL,1,CLT069,AN..70,,,Clausuletekst-069,Clausuletekst-069.;
A,CL,1,CLT070,AN..70,,,Clausuletekst-070,Clausuletekst-070.;
A,CL,1,CLT071,AN..70,,,Clausuletekst-071,Clausuletekst-071.;
A,CL,1,CLT072,AN..70,,,Clausuletekst-072,Clausuletekst-072.;
A,CL,1,CLT073,AN..70,,,Clausuletekst-073,Clausuletekst-073.;
